"Object ID","candid","JD","R.A.","Decl.","fid","magpsf","sigmapsf","programid","isdiffpos","drb","acai_h","acai_n","acai_o","acai_v","acai_b"
"ZTF18abxftqm","702183180515015006","2458456.6831829","16.8901185","23.4761836","2","18.932512283325195","0.11678747832775116","1","t","","","","","",""
"ZTF18abxftqm","696255020515015002","2458450.7550231","16.8901502","23.4761734","1","18.74918556213379","0.2138991504907608","1","t","","","","","",""
"ZTF18abxftqm","693330040515015003","2458447.8300463","16.8900216","23.4762076","2","18.716205596923828","0.09395964443683624","1","t","","","","","",""
"ZTF18abxftqm","687275280515015006","2458441.7752894","16.8901436","23.4761933","2","18.730653762817383","0.118724025785923","1","t","","","","","",""
"ZTF18abxftqm","687238480515015005","2458441.7384838","16.8901153","23.4761768","1","18.32933807373047","0.08991196006536484","1","t","","","","","",""
"ZTF18abxftqm","681268510515015083","2458435.7685185","16.8901381","23.4761461","2","18.455123901367188","0.10862115025520325","1","t","","","","","",""
"ZTF18abxftqm","681228770515015051","2458435.7287731","16.8901646","23.4761514","1","18.42043685913086","0.09379357844591141","1","t","","","","","",""
"ZTF18abxftqm","678268860515015006","2458432.7688657","16.8901688","23.4761798","2","18.447486877441406","0.06761776655912399","1","t","","","","","",""
"ZTF18abxftqm","677259780515015384","2458431.7597801","16.8902307","23.4761686","3","18.694616317749023","0.1340138167142868","2","t","","","","","",""
"ZTF18abxftqm","675274640515015029","2458429.7746412","16.8901516","23.4761814","2","18.518142700195312","0.07965574413537979","1","t","","","","","",""
"ZTF18abxftqm","673279670515015147","2458427.7796759","16.8901223","23.476223","3","18.45937728881836","0.11736863851547241","2","t","","","","","",""
"ZTF18abxftqm","672325450515015009","2458426.8254514","16.8901361","23.4762037","1","18.294023513793945","0.07784150540828705","1","t","","","","","",""
"ZTF18abxftqm","672254720515015020","2458426.7547222","16.8901468","23.4761884","2","18.432340621948242","0.07827593386173248","1","t","","","","","",""
"ZTF18abxftqm","669307890515015010","2458423.8078935","16.8901617","23.476178","2","18.364049911499023","0.05051875486969948","1","t","","","","","",""
"ZTF18abxftqm","669256370515015012","2458423.7563773","16.8900999","23.4761837","3","18.588836669921875","0.09699796885251999","2","t","","","","","",""
"ZTF18abxftqm","643359650515015030","2458397.8596528","16.8901444","23.4761888","1","18.46790313720703","0.06974107772111893","1","t","","","","","",""
"ZTF18abxftqm","643295610515015035","2458397.7956134","16.890137","23.4761743","3","18.985496520996094","0.09403880685567856","2","t","","","","","",""
"ZTF18abxftqm","634376380515015003","2458388.8763889","16.8901335","23.4761183","1","19.206554412841797","0.16221031546592712","1","t","","","","","",""
"ZTF18abxftqm","634277150515015000","2458388.7771528","16.8900566","23.4762193","2","19.41060447692871","0.19522328674793243","1","t","","","","","",""
"ZTF18abxftqm","628431330515015010","2458382.931331","16.8901367","23.4761559","1","20.3660831451416","0.20222707092761993","1","t","","","","","",""
"ZTF18abxftqm","625390640515015012","2458379.8906481","16.890129","23.4762573","2","20.862842559814453","0.2171226590871811","1","t","","","","","",""
